VCEncLevel Values,Encoded Picture Size,Frame Rate (fps),Max luma picture size (samples),Max luma sample rate (samples/sec),Max Bit Rate (Kbps)
HEVC (H265),,,,,
VCENC_HEVC_LEVEL_1,QCIF,15,"36,864","552,960",128
VCENC_HEVC_LEVEL_2,CIF,30,"122,880","3,686,400",1500
VCENC_HEVC_LEVEL_2_1,Q720p,30,"245,760","7,372,800",3000
VCENC_HEVC_LEVEL_3,QHD,30,"552,960","16,588,800",6000
VCENC_HEVC_LEVEL_3_1,1280x720,30,"983,040","33,177,600",10000
VCENC_HEVC_LEVEL_4,2Kx1080,30,"2,228,224","66,846,720",12000
VCENC_HEVC_LEVEL_4_1,2Kx1080,60,"2,228,224","133,693,440",20000
VCENC_HEVC_LEVEL_5,4096x2160,30,"8,912,896","267,386,880",25000
VCENC_HEVC_LEVEL_5_1,4096x2160,60,"8,912,896","534,773,760",40000
VCENC_HEVC_LEVEL_5_2,4096x2160,120,"8,912,896","1,069,547,520",60000
VCENC_HEVC_LEVEL_6,8192x4320,30,"35,651,584","1,069,547,520",60000
VCENC_HEVC_LEVEL_6_1,8192x4320,60,"35,651,584","2,139,095,040",120000
VCENC_HEVC_LEVEL_6_2,8192x4320,120,"35,651,584","4,278,190,080",240000
AVC (H264),,,,,
VCENC_H264_LEVEL_1,Sub-QCIF,15,99 (QCIF),"1,485",64
VCENC_H264_LEVEL_1,QCIF,15,99 (QCIF),"1,485",64
VCENC_H264_LEVEL_1_b,Sub-QCIF,15,99 (QCIF),"1,485",128
VCENC_H264_LEVEL_1_b,QCIF,15,99 (QCIF),"1,485",128
VCENC_H264_LEVEL_1_1,QCIF,30,396 (QCIF),3000,192
VCENC_H264_LEVEL_1_1,QVGA,10,396 (QCIF),3000,192
VCENC_H264_LEVEL_1_2,QVGA,20,396 (QCIF),6000,384
VCENC_H264_LEVEL_1_2,CIF,15,396 (QCIF),6000,384
VCENC_H264_LEVEL_1_3,QVGA,30,396 (QCIF),"11,880",768
VCENC_H264_LEVEL_1_3,CIF,30,396 (QCIF),"11,880",768
VCENC_H264_LEVEL_2,CIF,30,396 (QCIF),"11,880",2000
VCENC_H264_LEVEL_2_1,512x384,25,792,"19,800",4000
VCENC_H264_LEVEL_2_2,VGA,15,"1,620 (PAL)","20,250","4,000"
VCENC_H264_LEVEL_2_2,720x480,15,"1,620 (PAL)","20,250","4,000"
VCENC_H264_LEVEL_3,VGA,30,"1,620 (PAL)","40,500","10,000"
VCENC_H264_LEVEL_3,720x576,25,"1,620 (PAL)","40,500","10,000"
VCENC_H264_LEVEL_3,720x480,30,"1,620 (PAL)","40,500","10,000"
VCENC_H264_LEVEL_3_1,1280x720,30,"3,600 (HD 720p)","108,000","14,000"
VCENC_H264_LEVEL_3_2,1280x1024,30,"5,120 (SXGA)","216,000","20,000"
VCENC_H264_LEVEL_4,1920x1088,30,"8,192 (1080p)","245,760","20,000"
VCENC_H264_LEVEL_4_1,1920x1088,30,"8,192 (1080p)","245,760","50,000"
VCENC_H264_LEVEL_4_2,1920x1088,60,"8,192 (1080p)","491,520","50,000"
VCENC_H264_LEVEL_5,2048x1088,60,"22,080","589,824","135,000"
VCENC_H264_LEVEL_5_1,3840x2160,15,"36,864","983,040","240,000"
