Profile&Level,Format Name,Frame Rate (fps),Max luma picture size (samples),Max luma sample rate (samples/sec),Max Bit Rate (kbps)
LEVEL_1_0,QCIF,15,"36,864","552,960",128
LEVEL_2_0,CIF,30,"122,880","3,686,400",1500
LEVEL_2_1,Q720p,30,"245,760","7,372,800",3000
LEVEL_3_0,QHD,30,"552,960","16,588,800",6000
LEVEL_3_1,1280x720,30,"983,040","33,177,600",10000
LEVEL_4_0,2Kx1080,30,"2,228,224","66,846,720",12000
LEVEL_4_1,2Kx1080,60,"2,228,224","133,693,440",20000
LEVEL_5_0,4096x2160,30,"8,912,896","267,386,880",25000
LEVEL_5_1,4096x2160,60,"8,912,896","534,773,760",40000
LEVEL_5_2,4096x2160,120,"8,912,896","1,069,547,520",60000
LEVEL_6_0,8192x4320,30,"35,651,584","1,069,547,520",60000
LEVEL_6_1,8192x4320,60,"35,651,584","2,139,095,040",120000
