Pixel Format,,,,,,,,,,,,,,,,,
Planar,,Start address + 1,,,,,,,,Start address + 0,,,,,,,
YCbCr 4:2:0,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
10 bits (I010),,0,0,0,0,0,0,Y9,Y8,Y7,Y6,Y5,Y4,Y3,Y2,Y1,Y0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Planar,,Start address + 4,,,,,,,,Start address + 3,,,,,,,
YCbCr 4:2:0,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
10 bits packed,,Y39,Y38,Y37,Y36,Y35,Y34,Y33,Y32,Y31,Y30,Y29,Y28,Y27,Y26,Y25,Y24
4-pixel unit,,Start address + 2,,,,,,,,Start address + 1,,,,,,,
,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
,,Y23,Y22,Y21,Y20,Y19,Y18,Y17,Y16,Y15,Y14,Y13,Y12,Y11,Y10,Y09,Y08
,,Start address + 0,,,,,,,,,,,,,,,
,,Bit7,,,,,,,Bit0,,,,,,,,
,,Y07,Y06,Y05,Y04,Y03,Y02,Y01,Y00,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Semiplanar,,Start address + 1,,,,,,,,Start address + 0,,,,,,,
YCbCr 4:2:0,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
10 bits (P010),,Y9,Y8,Y7,Y6,Y5,Y4,Y3,Y2,Y1,Y0,0,0,0,0,0,0
Y-pixel format,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
YCbCr 4:2:0,,Start address + 7,,,,,,,,Start address + 6,,,,,,,
"10 bits,",,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
64- bit chunk format in Y0L2 format,,A3,A2,Y39,Y38,Y37,Y36,Y35,Y34,Y33,Y32,Y31,Y30,V9,V8,V7,V6
,,Start address + 5,,,,,,,,Start address + 4,,,,,,,
Luma Pixel order of a 2x2 chunk in Y0L2 format:,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
,,V5,V4,V3,V2,V1,V0,Y29,Y28,Y27,Y26,Y25,Y24,Y23,Y22,Y21,Y20
,,,,,,,,,,,,,,,,,
,,Start address + 3,,,,,,,,Start address + 2,,,,,,,
,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
,,A1,A0,Y19,Y18,Y17,Y16,Y15,Y14,Y13,Y12,Y11,Y10,U9,U8,U7,U6
Y0,Y1,Start address + 1,,,,,,,,Start address + 0,,,,,,,
,,Bit7,,,,,,,Bit0,Bit7,,,,,,,Bit0
Y2,Y3,U5,U4,U3,U2,U1,U0,Y09,Y08,Y07,Y06,Y05,Y04,Y03,Y02,Y01,Y00
,,,,,,,,,,,,,,,,,
