preset,codec,width,height,rc_mode,bitrate,ctb_rc,hrd,profile,level,gop_length,monitor_frames,bit_var_range,tolerance_moving_bitrate,qp_min,qp_max,cvbr,padding,fixed_intra_qp,intra_qp_delta,hrd_cpb_size,block_rc_size
general,AVC,1920,1080,VBR,1000000,1,0,VCENC_H264_HIGH_PROFILE,3.1,0,0,1000,auto,26,51,0,0,0,-2,10000000,16
general,AVC,1920,1080,VBR,2000000,0,0,VCENC_H264_HIGH_PROFILE,3.1,0,0,1000,auto,26,50,0,0,0,-3,10000000,16
general,AVC,1920,1080,VBR,4000000,0,0,VCENC_H264_HIGH_PROFILE,3.1,0,0,1000,auto,15,48,0,0,0,-4,10000000,16
general,AVC,1920,1080,VBR,8000000,0,0,VCENC_H264_HIGH_PROFILE,4.0,0,0,1000,auto,10,46,0,0,0,-5,10000000,16
general,AVC,1920,1080,VBR,12000000,0,0,VCENC_H264_HIGH_PROFILE,4.1,0,0,1000,auto,5,44,0,0,0,-5,10000000,16
general,AVC,1920,1080,VBR,999999999,0,0,VCENC_H264_HIGH_PROFILE,4.2,0,0,1000,auto,5,44,0,0,0,-5,10000000,16
general,AVC,1920,1080,CVBR,1000000,1,0,VCENC_H264_HIGH_PROFILE,3.1,0,0,auto,auto,38,51,2,user,38,0,10000000,16
general,AVC,1920,1080,CVBR,2000000,1,0,VCENC_H264_HIGH_PROFILE,3.1,0,0,auto,auto,35,51,2,user,35,0,10000000,16
general,AVC,1920,1080,CVBR,4000000,1,0,VCENC_H264_HIGH_PROFILE,3.1,0,0,auto,auto,5,51,2,user,0,-5,10000000,16
general,AVC,1920,1080,CVBR,8000000,0,0,VCENC_H264_HIGH_PROFILE,4.0,0,0,auto,auto,5,46,0,user,0,-5,10000000,16
general,AVC,1920,1080,CVBR,12000000,0,0,VCENC_H264_HIGH_PROFILE,4.1,0,0,auto,auto,5,44,0,user,0,-5,10000000,16
general,AVC,1920,1080,CVBR,999999999,0,0,VCENC_H264_HIGH_PROFILE,4.1,0,0,auto,auto,5,44,0,user,0,-5,10000000,16
general,AVC,1920,1080,HRD,1000000,1,1,VCENC_H264_HIGH_PROFILE,3.0,0,0,10,0,38,51,2,1,38,0,auto,16
general,AVC,1920,1080,HRD,2000000,1,1,VCENC_H264_HIGH_PROFILE,3.1,0,0,10,0,35,51,2,1,35,0,auto,16
general,AVC,1920,1080,HRD,4000000,1,1,VCENC_H264_HIGH_PROFILE,3.1,0,0,10,0,5,51,2,1,0,-5,auto,16
general,AVC,1920,1080,HRD,8000000,0,1,VCENC_H264_HIGH_PROFILE,4.0,0,0,10,0,5,46,0,1,0,-5,auto,16
general,AVC,1920,1080,HRD,12000000,0,1,VCENC_H264_HIGH_PROFILE,4.1,0,0,10,0,5,44,0,1,0,-5,auto,16
general,AVC,1920,1080,HRD,999999999,0,1,VCENC_H264_HIGH_PROFILE,4.1,0,0,10,0,5,44,0,1,0,-5,auto,16
general,HEVC,1920,1080,VBR,1000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,1000,auto,26,51,0,0,0,-2,10000000,32
general,HEVC,1920,1080,VBR,2000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,1000,auto,26,50,0,0,0,-3,10000000,32
general,HEVC,1920,1080,VBR,4000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,1000,auto,15,48,0,0,0,-4,10000000,32
general,HEVC,1920,1080,VBR,8000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.0,0,0,1000,auto,10,46,0,0,0,-5,10000000,32
general,HEVC,1920,1080,VBR,12000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,1000,auto,5,44,0,0,0,-5,10000000,32
general,HEVC,1920,1080,VBR,999999999,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.2,0,0,1000,auto,5,44,0,0,0,-5,10000000,32
general,HEVC,1920,1080,CVBR,1000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,auto,auto,38,51,2,user,38,0,10000000,32
general,HEVC,1920,1080,CVBR,2000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,auto,auto,35,51,2,user,35,0,10000000,32
general,HEVC,1920,1080,CVBR,4000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,auto,auto,5,51,2,user,0,-5,10000000,32
general,HEVC,1920,1080,CVBR,8000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.0,0,0,auto,auto,5,46,0,user,0,-5,10000000,32
general,HEVC,1920,1080,CVBR,12000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,auto,auto,5,44,0,user,0,-5,10000000,32
general,HEVC,1920,1080,CVBR,999999999,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,auto,auto,5,44,0,user,0,-5,10000000,32
general,HEVC,1920,1080,HRD,1000000,1,1,VCENC_HEVC_MAIN_10_PROFILE,3.0,0,0,10,0,38,51,2,1,38,0,auto,32
general,HEVC,1920,1080,HRD,2000000,1,1,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,10,0,35,51,2,1,35,0,auto,32
general,HEVC,1920,1080,HRD,4000000,1,1,VCENC_HEVC_MAIN_10_PROFILE,3.1,0,0,10,0,5,51,2,1,0,-5,auto,32
general,HEVC,1920,1080,HRD,8000000,0,1,VCENC_HEVC_MAIN_10_PROFILE,4.0,0,0,10,0,5,46,0,1,0,-5,auto,32
general,HEVC,1920,1080,HRD,12000000,0,1,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,10,0,5,44,0,1,0,-5,auto,32
general,HEVC,1920,1080,HRD,999999999,0,1,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,10,0,5,44,0,1,0,-5,auto,32
general,AVC,3840,2160,VBR,2000000,1,0,VCENC_H264_HIGH_PROFILE,4.1,0,0,1000,auto,26,51,0,0,0,-2,10000000,16
general,AVC,3840,2160,VBR,4000000,0,0,VCENC_H264_HIGH_PROFILE,4.2,0,0,1000,auto,15,50,0,0,0,-3,10000000,16
general,AVC,3840,2160,VBR,8000000,0,0,VCENC_H264_HIGH_PROFILE,4.2,0,0,1000,auto,10,48,0,0,0,-4,10000000,16
general,AVC,3840,2160,VBR,16000000,0,0,VCENC_H264_HIGH_PROFILE,5.0,0,0,1000,auto,5,46,0,0,0,-5,10000000,16
general,AVC,3840,2160,VBR,999999999,0,0,VCENC_H264_HIGH_PROFILE,5.1,0,0,1000,auto,1,44,0,0,0,-5,10000000,16
general,AVC,3840,2160,CVBR,2000000,1,0,VCENC_H264_HIGH_PROFILE,5.1,0,0,auto,auto,40,51,3,user,40,0,10000000,16
general,AVC,3840,2160,CVBR,4000000,1,0,VCENC_H264_HIGH_PROFILE,5.1,0,0,auto,auto,35,51,2,user,0,0,10000000,16
general,AVC,3840,2160,CVBR,8000000,1,0,VCENC_H264_HIGH_PROFILE,5.1,0,0,auto,auto,30,45,1,user,0,0,10000000,16
general,AVC,3840,2160,CVBR,16000000,0,0,VCENC_H264_HIGH_PROFILE,5.0,0,0,auto,auto,20,46,0,user,0,0,10000000,16
general,AVC,3840,2160,CVBR,999999999,0,0,VCENC_H264_HIGH_PROFILE,5.1,0,0,auto,auto,10,44,0,user,0,0,10000000,16
general,AVC,3840,2160,HRD,2000000,1,1,VCENC_H264_HIGH_PROFILE,4.1,0,0,10,0,32,51,3,1,40,0,auto,16
general,AVC,3840,2160,HRD,4000000,1,1,VCENC_H264_HIGH_PROFILE,4.2,0,0,10,0,30,51,2,1,0,0,auto,16
general,AVC,3840,2160,HRD,8000000,0,1,VCENC_H264_HIGH_PROFILE,4.2,0,0,10,0,26,48,1,1,0,0,auto,16
general,AVC,3840,2160,HRD,16000000,0,1,VCENC_H264_HIGH_PROFILE,5.0,0,0,10,0,20,46,0,1,0,0,auto,16
general,AVC,3840,2160,HRD,999999999,0,1,VCENC_H264_HIGH_PROFILE,5.1,0,0,10,0,10,44,0,1,0,0,auto,16
general,HEVC,3840,2160,VBR,2000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,1000,auto,26,51,0,0,0,-2,10000000,64
general,HEVC,3840,2160,VBR,4000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.2,0,0,1000,auto,15,50,0,0,0,-3,10000000,64
general,HEVC,3840,2160,VBR,8000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,4.2,0,0,1000,auto,10,48,0,0,0,-4,10000000,64
general,HEVC,3840,2160,VBR,16000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,5.0,0,0,1000,auto,5,46,0,0,0,-5,10000000,32
general,HEVC,3840,2160,VBR,999999999,0,0,VCENC_HEVC_MAIN_10_PROFILE,5.1,0,0,1000,auto,1,44,0,0,0,-5,10000000,16
general,HEVC,3840,2160,CVBR,2000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,5.1,0,0,auto,auto,40,51,3,user,40,0,10000000,64
general,HEVC,3840,2160,CVBR,4000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,5.1,0,0,auto,auto,35,51,2,user,0,0,10000000,64
general,HEVC,3840,2160,CVBR,8000000,1,0,VCENC_HEVC_MAIN_10_PROFILE,5.1,0,0,auto,auto,30,45,1,user,0,0,10000000,64
general,HEVC,3840,2160,CVBR,16000000,0,0,VCENC_HEVC_MAIN_10_PROFILE,5.0,0,0,auto,auto,20,46,0,user,0,0,10000000,32
general,HEVC,3840,2160,CVBR,999999999,0,0,VCENC_HEVC_MAIN_10_PROFILE,5.1,0,0,auto,auto,10,44,0,user,0,0,10000000,16
general,HEVC,3840,2160,HRD,2000000,1,1,VCENC_HEVC_MAIN_10_PROFILE,4.1,0,0,10,0,32,51,3,1,40,0,auto,64
general,HEVC,3840,2160,HRD,4000000,1,1,VCENC_HEVC_MAIN_10_PROFILE,4.2,0,0,10,0,30,51,2,1,0,0,auto,64
general,HEVC,3840,2160,HRD,8000000,0,1,VCENC_HEVC_MAIN_10_PROFILE,4.2,0,0,10,0,26,48,1,1,0,0,auto,64
general,HEVC,3840,2160,HRD,16000000,0,1,VCENC_HEVC_MAIN_10_PROFILE,5.0,0,0,10,0,20,46,0,1,0,0,auto,32
general,HEVC,3840,2160,HRD,999999999,0,1,VCENC_HEVC_MAIN_10_PROFILE,5.1,0,0,10,0,10,44,0,1,0,0,auto,16
